"tractid","death_injury_rf_risk_prob"
18027954800,0.742
18177000200,0.504
20087020300,0.436
20177001300,0.51
21023950300,0.392
21059001602,0.118
21117064900,0.544
21171930200,0.452
22033004402,0.57
25027740102,0.132
25027750200,0.298
24003706302,0.182
24015030601,0.218
26005030402,0.372
26037010104,0.362
26099251000,0.326
26163510600,0.696
26163556600,0.716
26163576400,0.238
27015960101,0.87
27029000100,0.418
27067780300,0.534
27105105300,0.358
27169670800,0.432
29077004803,0.408
29101960200,0.366
28029950600,0.776
28033070411,0.548
30031000504,0.344
37045950500,0.326
37155960501,0.4
38077970900,0.27
31079000200,0.892
33017086000,0.298
34023006203,0.326
34037372800,0.366
35029000200,0.304
35043940500,0.366
36005039400,0.5
36027160003,0.35
36029008202,0.454
36047012801,0.338
36047018200,0.132
36047039600,0.338
36047082600,0.376
36047115600,0.302
36059409100,0.326
36061012900,0.258
36061028100,0.284
36081077902,0.246
36117020201,0.21
39003013000,0.312
39023001000,0.448
39023002403,0.674
39081001300,0.434
39095000400,0.196
39119912000,0.588
39151713900,0.334
40027202404,0.66
40109107222,0.502
40143004301,0.278
41005021000,0.592
42021010200,0.682
42027012000,0.22
42029303000,0.254
42071010801,0.368
42071013400,0.414
42101003300,0.932
72127003800,0.402
44007017600,0.434
45011980100,0.262
47021070202,0.414
47029920501,0.264
47071920500,0.368
47093002800,0.524
47123925200,0.444
47163042400,0.42
47179061401,0.564
48029110600,0.298
48035950500,0.42
48201323701,0.46
48251130602,0.354
48255970400,0.4
48339694101,0.368
49049001105,0.436
49049010214,0.316
51177020405,0.35
50007001000,0.642
53011042600,0.158
53033022801,0.31
53035080600,0.564
55017011200,0.374
55079091100,0.494
55079120102,0.344
54061011803,0.25
54061011900,0.092
54093965400,0.39
5091020100,0.652
4013104225,0.418
4013112401,0.378
4013613400,0.406
4013812000,0.416
6001435700,0.364
6007000601,0.218
6037214503,0.31
6037275602,0.252
6037481002,0.392
6037540000,0.4
6041110100,0.168
6059042328,0.35
6067005001,0.426
6081600100,0.344
6083000400,0.34
6083002304,0.414
6111007700,0.354
8001008801,0.44
8031004602,0.61
10005050503,0.302
12009064400,0.464
12011020409,0.482
12031017300,0.586
12071001908,0.424
12073002408,0.294
12086000411,0.442
12099001909,0.402
12099007602,0.218
12099007724,0.388
12103024403,0.396
12103024412,0.49
13115000900,0.268
13117130305,0.582
13251970300,0.654
13285960902,0.504
15003008909,0.436
19011960400,0.376
19013001501,0.42
19113010300,0.296
17031490800,0.456
17031824123,0.318
17031843600,0.376
17043841315,0.384
17117956500,0.346
17127970200,0.734
18053000200,0.114
18089042609,0.246
21157950300,0.262
22003950400,0.382
22087030800,0.466
22109001700,0.172
25025040401,0.336
24510150500,0.232
23005002900,0.496
23031029000,0.3
26005031100,0.106
26061001000,0.246
26065002101,0.466
26065003200,0.434
26093722500,0.346
26099262300,0.474
26099263900,0.176
26115832500,0.262
26125166400,0.382
27003050607,0.434
27037060743,0.172
27123040402,0.528
29021000200,0.572
29189221900,0.11
37151031100,0.306
37157040602,0.086
31055007470,0.52
33015055002,0.846
34009020901,0.338
34039038101,0.226
35013000300,0.41
32001950700,0.342
32003000201,0.42
32003003634,0.404
32510000900,0.476
36047005602,0.41
36047079200,0.328
36055006900,0.462
36081006900,0.492
36081012400,0.36
36081074300,0.32
36081079701,0.37
36103158203,0.272
36117021000,0.102
36119002800,0.384
36119012802,0.312
39025040701,0.452
39025040702,0.69
39079957800,0.582
39109365102,0.408
39153530800,0.358
40101001100,0.384
40143001200,0.568
41029000602,0.62
42049002100,0.368
42075002800,0.294
42125795700,0.388
72025200600,0.448
72127007300,0.428
44003020603,0.242
44007011902,0.398
45027960500,0.366
45063020801,0.606
47003950600,0.53
47037015624,0.482
47093004000,0.302
47115050302,0.388
48085030407,0.354
48091310603,0.358
48167725400,0.624
48201452400,0.438
48303001000,0.564
48309004202,0.074
48347951000,0.046
48397040401,0.256
48439111314,0.366
49057201400,0.37
51029930201,0.126
51059491101,0.414
53005010100,0.548
53067012710,0.276
55009021304,0.41
55073001400,0.382
55079130100,0.204
55091950200,0.294
55133203305,0.33
1003011102,0.24
1097003708,0.218
