Tract (Group 1)	risk_indicator
22073000700	1
22073000900	2
22073001500	1
22073005900	1
22073010604	1
22079010100	1
22079010500	1
22079011500	2
22079012000	2
22079012700	0
22079012900	1
22079013000	0
22079013200	2
22079013500	1
22081960300	0
22083970400	1
22087030204	1
22091951100	1
22091951200	2
22093040400	1
22093040600	1
22095070100	1
22095070200	1
22095070600	1
22097960700	1
22097961300	2
22097961600	0
22099020400	0
22099020600	1
22101040300	1
22101041200	1
22101041600	1
22103040803	2
22103041102	2
22103041204	1
22105953200	1
22105953300	1
22105953400	1
22105953600	1
22105953800	2
22105954200	1
22105954400	1
22105954800	1
22109000201	1
22109000500	2
22109000700	1
22109001300	1
22111960100	1
22115950200	1
22115950300	1
22115950800	2
22117950101	1
22117950200	2
22117950300	1
22117950400	1
22117950700	1
22117950900	2
22121020300	1
22123000100	1
2290000200	1
23001046000	0
23005000500	1
23005001700	1
23005001800	1
23005002001	1
23005002300	2
23005002900	4
23007971000	1
23011010100	1
23011010300	3
23017966500	8
23025966600	2
23025967000	1
23031006102	1
23031028002	2
23031030100	4
23031030202	0
23031038001	1
24001000400	2
24003706301	0
24003706600	1
24003730204	1
24003730401	5
24003730504	7
24003730601	1
24003731307	1
24003740500	1
24005401101	1
24005402406	2
24005403602	1
24005420702	1
24005491600	1
24011955600	1
24013507500	1
24013513001	1
24015030505	1
24015030506	1
24015030904	1
24015031400	1
24019970200	1
24021740200	1
24021751702	0
24021752802	0
24025302400	1
24025303300	1
24025304201	1
24027601105	1
24031700719	1
24031703214	2
24031703215	1
24031703301	1
24031703702	2
24031704000	1
24033801302	0
24033801600	1
24033801701	1
24033801801	1
24033801906	1
24033802001	4
24033803100	1
24033803508	10
24033803514	0
24033803527	1
24033804002	4
24033804200	1
24033804700	1
24033806601	1
24039930101	3
24041960400	1
24043000100	0
24043010200	0
24043010900	0
24045000100	2
24045000500	2
24045010102	1
24045010701	1
24047951000	1
24047951500	3
24510070200	2
24510080302	1
24510080600	1
24510080700	1
24510090100	1
24510100100	1
24510120500	1
24510130300	1
24510150100	1
24510150300	2
24510150400	1
24510150800	1
24510151200	3
24510151300	1
24510160100	1
24510160200	1
24510160400	2
24510160801	2
24510180100	1
24510180300	1
24510200500	2
24510250204	5
24510250205	1
24510250207	4
24510250401	1
24510260302	1
24510260404	1
