

Tract (Group 1)	Date (Group 2)	risk_indicator
5045030301	1/12/09	1
5085020700	1/12/09	1
51059430102	1/12/09	0
51071930100	1/12/09	1
51105950600	1/12/09	1
51117930300	1/12/09	1
5115951200	1/12/09	1
5119001900	1/12/09	1
5119004004	1/12/09	1
5119004106	1/12/09	1
5139950600	1/12/09	1
51760060200	1/12/09	1
53029970300	1/12/09	0
53065951300	1/12/09	1
53077002102	1/12/09	2
55001950502	1/12/09	1
55069960600	1/12/09	1
55071010600	1/12/09	1
55079003700	1/12/09	1
55079009100	1/12/09	2
55105002800	1/12/09	1
55121100100	1/12/09	1
6013301000	1/12/09	1
6013367100	1/12/09	1
6013376000	1/12/09	1
6019003003	1/12/09	0
6037222500	1/12/09	1
6059063102	1/12/09	1
6059074109	1/12/09	2
6065042412	1/12/09	1
6065045604	1/12/09	0
6071001501	1/12/09	1
6085512314	1/12/09	6
6087100300	1/12/09	2
6095252606	1/12/09	1
6103000300	1/12/09	1
6111007202	1/12/09	0
8105977000	1/12/09	1
9011702700	1/12/09	1
10001042500	1/13/09	1
1073010302	1/13/09	1
1077011200	1/13/09	1
1077011400	1/13/09	1
1095031100	1/13/09	1
1099075800	1/13/09	1
1109189100	1/13/09	1
1111000400	1/13/09	1
1117030605	1/13/09	1
12011030600	1/13/09	1
12015021001	1/13/09	1
12071020300	1/13/09	1
12086001802	1/13/09	1
12087972000	1/13/09	1
12093910601	1/13/09	1
12113010300	1/13/09	1
13021013800	1/13/09	1
13027960400	1/13/09	1
13123080500	1/13/09	1
13207050102	1/13/09	1
13207050200	1/13/09	1
13217100700	1/13/09	1
13277960700	1/13/09	1
13299950800	1/13/09	1
16027021904	1/13/09	1
17101881000	1/13/09	1
17143004300	1/13/09	1
17197883605	1/13/09	1
17201000700	1/13/09	1
18013974600	1/13/09	1
18057110600	1/13/09	3
19073080300	1/13/09	1
19181020300	1/13/09	1
20091050200	1/13/09	1
20177000400	1/13/09	3
20177000600	1/13/09	2
2020001500	1/13/09	1
20209044202	1/13/09	1
21067000101	1/13/09	13
21067000300	1/13/09	1
21111002400	1/13/09	3
21179930302	1/13/09	1
21235920300	1/13/09	1
22047953000	1/13/09	1
22067950400	1/13/09	1
22091951200	1/13/09	1
22097961300	1/13/09	1
22097961600	1/13/09	0
22117950400	1/13/09	1
22117950700	1/13/09	1
23005002300	1/13/09	2
23005002900	1/13/09	4
24045010102	1/13/09	1
24510070200	1/13/09	1
24510150300	1/13/09	1
25003900100	1/13/09	1
25023508200	1/13/09	1
26049003500	1/13/09	1
26093743700	1/13/09	0
26099254000	1/13/09	2
26099254100	1/13/09	2
26129950300	1/13/09	1
26151970400	1/13/09	1
26163536600	1/13/09	1
26163541700	1/13/09	1
27053026103	1/13/09	1
27123031701	1/13/09	1
28099010100	1/13/09	1
28115950500	1/13/09	1
28121020802	1/13/09	1
28127950100	1/13/09	2
28151002100	1/13/09	1
29033960200	1/13/09	1
29047020500	1/13/09	1
29101960700	1/13/09	1
29189210921	1/13/09	1
31053963900	1/13/09	1
31079000600	1/13/09	0
31141965700	1/13/09	1
32003000401	1/13/09	4
33015069200	1/13/09	1
33017084500	1/13/09	1
34025807300	1/13/09	1
36005000400	1/13/09	0
36005006300	1/13/09	1
36005027401	1/13/09	0
36005027600	1/13/09	0
36005038301	1/13/09	1
36013037400	1/13/09	2
36015010100	1/13/09	1
36021000100	1/13/09	1
36025970500	1/13/09	1
36029000800	1/13/09	1
36047082600	1/13/09	1
36047096600	1/13/09	1
36047096800	1/13/09	2
36061025700	1/13/09	1
36081012400	1/13/09	1
36081013000	1/13/09	2
36081099200	1/13/09	1
36081100802	1/13/09	2
36083051701	1/13/09	1
36085002100	1/13/09	1
36085003300	1/13/09	1
36089490700	1/13/09	1
36095740600	1/13/09	1
36101961700	1/13/09	1
36113072000	1/13/09	2
36119013000	1/13/09	1
37005950100	1/13/09	1
37011930100	1/13/09	1
37025040703	1/13/09	1
37047930500	1/13/09	1
37051001902	1/13/09	1
37063001709	1/13/09	1
37063001801	1/13/09	1
37081014502	1/13/09	1
37117970400	1/13/09	1
37119004200	1/13/09	1
37119005840	1/13/09	0
37153970300	1/13/09	2
37165010102	1/13/09	1
37195000802	1/13/09	1
39035122100	1/13/09	1
39049004700	1/13/09	0
39049009340	1/13/09	1
39061006800	1/13/09	1
39113100301	1/13/09	1
40017300500	1/13/09	2
4003000302	1/13/09	1
40109106602	1/13/09	1
40109108504	1/13/09	1
40125500301	1/13/09	1
40143007609	1/13/09	1
4015954800	1/13/09	1
4017960500	1/13/09	1
